time 0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
0.000 0.00000000 0.00000000 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1.000 0.02506258 0.02506258 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2.000 0.06208491 0.06208491 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3.000 0.09112565 0.09112565 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4.000 0.10866039 0.10866039 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.000 0.12615335 0.12616634 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
6.000 0.14654511 0.14659525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
7.000 0.17069925 0.17079058 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8.000 0.20108880 0.20125818 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
9.000 0.24327859 0.24346478 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
10.000 0.29879076 0.29888404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11.000 0.37049299 0.37040436 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12.000 0.46087419 0.46044304 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
13.000 0.55433418 0.54962185 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
14.000 0.66385175 0.65683408 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15.000 0.79562852 0.78691012 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16.000 0.93145781 0.94438876 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
17.000 1.05501130 1.13274047 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
18.000 1.17127064 1.35534468 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
19.000 1.28280402 1.61137476 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
20.000 1.39358980 1.90526250 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
21.000 1.49991617 2.24485658 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
22.000 1.60061073 2.63982340 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
23.000 1.69844245 3.10235534 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
24.000 1.79143569 3.64720916 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
25.000 1.87828832 4.29117163 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
26.000 1.95620647 4.99346426 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
27.000 2.02318058 5.68298520 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
28.000 2.08158097 6.35892507 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
29.000 2.13376103 7.02055162 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
30.000 2.18140159 7.66698291 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
31.000 2.22623834 8.29797215 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
32.000 2.26910041 8.91305182 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
33.000 2.31180191 9.51200886 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
34.000 2.35391844 10.09508697 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
35.000 2.39506257 10.66205353 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
36.000 2.43521085 11.21340807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
37.000 2.47429103 11.74898511 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
38.000 2.51230917 12.26900400 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
39.000 2.54931835 12.74479420 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
40.000 2.58540981 13.13551740 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
