0.1_bbb 5.0_bbb 0.1_b 5.0_b time 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA 0.000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 NA NA NA NA
NA NA NA NA 1.000 0.00594694 0.00594694 0.00594694 0.00594694 0.00594694 0.00594694 0.00594694 0.00594694 NA NA NA NA
NA NA NA NA 2.000 0.01318850 0.01318514 0.01319045 0.01317227 0.01322304 0.01320680 0.01319298 0.01315118 NA NA NA NA
NA NA NA NA 3.000 0.03033415 0.03030176 0.03036608 0.03018056 0.03069818 0.03053289 0.03038053 0.02995453 NA NA NA NA
NA NA NA NA 4.000 0.05553919 0.05547071 0.05565190 0.05517725 0.05647212 0.05606334 0.05567679 0.05460386 NA NA NA NA
NA NA NA NA 5.000 0.08075879 0.08067780 0.08097678 0.08022343 0.08222741 0.08162085 0.08104780 0.07936145 NA NA NA NA
NA NA NA NA 6.000 0.10587355 0.10577304 0.10615240 0.10500927 0.10814219 0.10714097 0.10639290 0.10392911 NA NA NA NA
NA NA NA NA 7.000 0.13299516 0.13272580 0.13318343 0.13140098 0.13670056 0.13476290 0.13388701 0.12978058 NA NA NA NA
NA NA NA NA 8.000 0.16493790 0.16421835 0.16475502 0.16214476 0.17089057 0.16732246 0.16633632 0.15932228 NA NA NA NA
NA NA NA NA 9.000 0.20541967 0.20373747 0.20439711 0.20089286 0.21436794 0.20838135 0.20737071 0.19599267 NA NA NA NA
NA NA NA NA 10.000 0.25893825 0.25586882 0.25671755 0.25208832 0.27151465 0.26261744 0.26147603 0.24450118 NA NA NA NA
NA NA NA NA 11.000 0.33008269 0.32596225 0.32696626 0.32087276 0.34673342 0.33537880 0.33335502 0.31033493 NA NA NA NA
NA NA NA NA 12.000 0.41693056 0.41791254 0.41402275 0.41093983 0.43799946 0.43017792 0.42167368 0.39801357 NA NA NA NA
NA NA NA NA 13.000 0.47351962 0.51811026 0.47667561 0.51480381 0.48775031 0.52684141 0.47676204 0.50641316 NA NA NA NA
NA NA NA NA 14.000 0.52441085 0.62874486 0.53123199 0.62670311 0.53943532 0.63459862 0.53011257 0.62195438 NA NA NA NA
NA NA NA NA 15.000 0.57599470 0.76825374 0.58667710 0.76685099 0.59600354 0.77244576 0.58719611 0.76410543 NA NA NA NA
NA NA NA NA 16.000 0.62909096 0.95551320 0.64428533 0.95429636 0.65617662 0.95882779 0.64795117 0.95271603 NA NA NA NA
NA NA NA NA 17.000 0.68283265 1.21027040 0.70321697 1.20879743 0.71775674 1.21308726 0.71109870 1.20792609 NA NA NA NA
NA NA NA NA 18.000 0.73608887 1.55259643 0.76220496 1.55072272 0.77884604 1.55530217 0.77514135 1.55021890 NA NA NA NA
NA NA NA NA 19.000 0.78878114 2.00293031 0.82088098 1.99849545 0.83901730 2.00559895 0.83995008 1.99994510 NA NA NA NA
NA NA NA NA 20.000 0.84469927 2.57289833 0.88342774 2.55854728 0.90341374 2.57544892 0.91040226 2.56496220 NA NA NA NA
NA NA NA NA 21.000 0.89955516 3.26244837 0.94625450 3.23902483 0.96838428 3.26522651 0.98189150 3.25005267 NA NA NA NA
NA NA NA NA 22.000 0.95095963 4.08037234 1.00529685 4.04952320 1.02977620 4.08499301 1.05177050 4.06380136 NA NA NA NA
NA NA NA NA 23.000 1.00307427 5.04356566 1.06480682 5.00837198 1.09269772 5.05224247 1.12200049 5.02319846 NA NA NA NA
NA NA NA NA 24.000 1.05250890 6.16054655 1.12160729 6.12330872 1.15330024 6.17510476 1.18900524 6.13633657 NA NA NA NA
NA NA NA NA 25.000 1.09805037 7.43711138 1.17411523 7.39822719 1.20959698 7.45794781 1.25159854 7.40795474 NA NA NA NA
NA NA NA NA 26.000 1.13983506 8.88498443 1.22239860 8.84413904 1.26144505 8.91216713 1.31007228 8.84845925 NA NA NA NA
NA NA NA NA 27.000 1.17824061 10.49742113 1.26696146 10.45504505 1.30932380 10.53135660 1.36492108 10.45145953 NA NA NA NA
