0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs time 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA NA NA NA NA 0.000 0.00000000 0.00000000 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 1.000 0.00594694 0.00594694 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 2.000 0.01323533 0.01321428 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 3.000 0.03082416 0.03060650 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 4.000 0.05681768 0.05625681 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 5.000 0.08280950 0.08194787 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 6.000 0.10894125 0.10783453 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 7.000 0.13767545 0.13640602 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 8.000 0.17208493 0.17057687 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 9.000 0.21584186 0.21391089 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 10.000 0.27360805 0.27076673 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 11.000 0.34990653 0.34606814 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 12.000 0.44070327 0.44308813 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 13.000 0.48831798 0.53316645 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 14.000 0.53906463 0.63718305 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 15.000 0.59514194 0.77285195 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 16.000 0.65504717 0.95793789 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 17.000 0.71645047 1.21142571 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 18.000 0.77736533 1.55313334 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 19.000 0.83724999 2.00314123 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 20.000 0.90092606 2.57160054 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 21.000 0.96500410 3.26026113 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 22.000 1.02558349 4.07840313 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 23.000 1.08791356 5.04372389 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 24.000 1.14825699 6.16361023 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 25.000 1.20447912 7.44181155 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 26.000 1.25641742 8.88850745 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 27.000 1.30444371 10.49824170 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 28.000 1.34932461 12.25730356 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 29.000 1.39192942 14.15731771 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 30.000 1.43274895 16.18876111 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 31.000 1.47299486 18.34015633 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 32.000 1.51258658 20.58960171 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 33.000 1.55349461 22.90705360 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 34.000 1.59483814 25.27831881 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 35.000 1.63556661 27.69766796 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 36.000 1.67540646 30.15612159 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 37.000 1.71390368 32.65245802 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 38.000 1.75096888 35.17766619 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 39.000 1.78664894 37.49681038 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 40.000 1.82104389 39.60466754 NA NA NA NA NA NA
