nlevels plant path maizeDryWeight1.20 maizeDryWeight1.40 maizeDryWeight2.20 maizeDryWeight2.40 maizeDryWeight3.20 maizeDryWeight3.40 beanDryWeight1.20 beanDryWeight1.40 beanDryWeight2.20 beanDryWeight2.40 beanDryWeight3.20 beanDryWeight3.40 squashDryWeight1.20 squashDryWeight1.40 squashDryWeight2.20 squashDryWeight2.40 squashDryWeight3.20 squashDryWeight3.40
0.1 bbb 0.1_bbb NA NA NA NA NA NA 1.3935898 2.58540981 1.39765746 2.58250302 1.3740012 2.52266069 NA NA NA NA NA NA
5 bbb 5.0_bbb NA NA NA NA NA NA 1.9052625 13.1355174 1.90654462 13.14986407 1.90641836 13.14075177 NA NA NA NA NA NA
0.1 b 0.1_b NA NA NA NA NA NA NA NA 1.45336862 3.25042354 NA NA NA NA NA NA NA NA
5 b 5.0_b NA NA NA NA NA NA NA NA 1.90742778 13.10512415 NA NA NA NA NA NA NA NA
0.1 mbb 0.1_mbb 0.84469927 1.5738204 NA NA NA NA NA NA 1.39121307 2.67204621 1.38603787 2.63156306 NA NA NA NA NA NA
5 mbb 5.0_mbb 2.57289833 39.59033656 NA NA NA NA NA NA 1.90619223 13.1458409 1.90421193 13.17014197 NA NA NA NA NA NA
0.1 mbs 0.1_mbs 0.88342774 1.74080512 NA NA NA NA NA NA 1.37789488 2.5242174 NA NA NA NA NA NA 0.78990973 1.31556260
5 mbs 5.0_mbs 2.55854728 39.65222926 NA NA NA NA NA NA 1.90519117 13.15245771 NA NA NA NA NA NA 1.63161173 47.80600150
0.1 mmm 0.1_mmm 0.90341374 1.82275987 0.90092606 1.82104389 0.80025273 1.44731939 NA NA NA NA NA NA NA NA NA NA NA NA
5 mmm 5.0_mmm 2.57544892 39.5308768 2.57160054 39.60466754 2.5669385 39.65166484 NA NA NA NA NA NA NA NA NA NA NA NA
0.1 m 0.1_m 0.91040226 1.98861269 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5 m 5.0_m 2.5649622 39.68089292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
0.1 sss 0.1_sss NA NA NA NA NA NA NA NA NA NA NA NA 0.77554744 1.18883884 0.81562928 1.33234458 0.77248673 1.16945486
5 sss 5.0_sss NA NA NA NA NA NA NA NA NA NA NA NA 1.64740744 48.10091466 1.653881 48.13340366 1.66128681 48.23680949
0.1 s 0.1_s NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.86944460 1.70519553
5 s 5.0_s NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.62551765 47.78974774
