"V1" "V2" "V3" "V4" "V5" "V6" "orilabels" "colors" "filelabels"
"1" "//bean2/shootDryWeight1" 0 0 NA "g" "//bean2" "shootDryWeight" 1 1
"2" "//maize1/shootDryWeight1" 0 0 NA "g" "//maize1" "shootDryWeight" 2 1
"3" "//squash3/shootDryWeight1" 0 0 NA "g" "//squash3" "shootDryWeight" 3 1
"4" "//bean2/shootDryWeight1" 1 0 NA "g" "//bean2" "shootDryWeight" 1 1
"5" "//maize1/shootDryWeight1" 1 0 NA "g" "//maize1" "shootDryWeight" 2 1
"6" "//squash3/shootDryWeight1" 1 0 NA "g" "//squash3" "shootDryWeight" 3 1
"7" "//bean2/shootDryWeight1" 2 0 NA "g" "//bean2" "shootDryWeight" 1 1
"8" "//maize1/shootDryWeight1" 2 0 NA "g" "//maize1" "shootDryWeight" 2 1
"9" "//squash3/shootDryWeight1" 2 0.00061029 NA "g" "//squash3" "shootDryWeight" 3 1
"10" "//bean2/shootDryWeight1" 3 0.00352019 NA "g" "//bean2" "shootDryWeight" 1 1
"11" "//maize1/shootDryWeight1" 3 0.00487849 NA "g" "//maize1" "shootDryWeight" 2 1
"12" "//squash3/shootDryWeight1" 3 0.00184107 NA "g" "//squash3" "shootDryWeight" 3 1
"13" "//bean2/shootDryWeight1" 4 0.01317992 NA "g" "//bean2" "shootDryWeight" 1 1
"14" "//maize1/shootDryWeight1" 4 0.01442671 NA "g" "//maize1" "shootDryWeight" 2 1
"15" "//squash3/shootDryWeight1" 4 0.00308461 NA "g" "//squash3" "shootDryWeight" 3 1
"16" "//bean2/shootDryWeight1" 5 0.02563406 NA "g" "//bean2" "shootDryWeight" 1 1
"17" "//maize1/shootDryWeight1" 5 0.02586068 NA "g" "//maize1" "shootDryWeight" 2 1
"18" "//squash3/shootDryWeight1" 5 0.00434117 NA "g" "//squash3" "shootDryWeight" 3 1
"19" "//bean2/shootDryWeight1" 6 0.03849059 NA "g" "//bean2" "shootDryWeight" 1 1
"20" "//maize1/shootDryWeight1" 6 0.03736211 NA "g" "//maize1" "shootDryWeight" 2 1
"21" "//squash3/shootDryWeight1" 6 0.00624716 NA "g" "//squash3" "shootDryWeight" 3 1
"22" "//bean2/shootDryWeight1" 7 0.05035779 NA "g" "//bean2" "shootDryWeight" 1 1
"23" "//maize1/shootDryWeight1" 7 0.04781635 NA "g" "//maize1" "shootDryWeight" 2 1
"24" "//squash3/shootDryWeight1" 7 0.00945698 NA "g" "//squash3" "shootDryWeight" 3 1
"25" "//bean2/shootDryWeight1" 8 0.06263219 NA "g" "//bean2" "shootDryWeight" 1 1
"26" "//maize1/shootDryWeight1" 8 0.05689187 NA "g" "//maize1" "shootDryWeight" 2 1
"27" "//squash3/shootDryWeight1" 8 0.01432379 NA "g" "//squash3" "shootDryWeight" 3 1
"28" "//bean2/shootDryWeight1" 9 0.07913208 NA "g" "//bean2" "shootDryWeight" 1 1
"29" "//maize1/shootDryWeight1" 9 0.06520133 NA "g" "//maize1" "shootDryWeight" 2 1
"30" "//squash3/shootDryWeight1" 9 0.02121105 NA "g" "//squash3" "shootDryWeight" 3 1
"31" "//bean2/shootDryWeight1" 10 0.10090042 NA "g" "//bean2" "shootDryWeight" 1 1
"32" "//maize1/shootDryWeight1" 10 0.07436772 NA "g" "//maize1" "shootDryWeight" 2 1
"33" "//squash3/shootDryWeight1" 10 0.03182417 NA "g" "//squash3" "shootDryWeight" 3 1
"34" "//bean2/shootDryWeight1" 11 0.12907313 NA "g" "//bean2" "shootDryWeight" 1 1
"35" "//maize1/shootDryWeight1" 11 0.08702477 NA "g" "//maize1" "shootDryWeight" 2 1
"36" "//squash3/shootDryWeight1" 11 0.04797337 NA "g" "//squash3" "shootDryWeight" 3 1
"37" "//bean2/shootDryWeight1" 12 0.16498875 NA "g" "//bean2" "shootDryWeight" 1 1
"38" "//maize1/shootDryWeight1" 12 0.10228112 NA "g" "//maize1" "shootDryWeight" 2 1
"39" "//squash3/shootDryWeight1" 12 0.07057288 NA "g" "//squash3" "shootDryWeight" 3 1
"40" "//bean2/shootDryWeight1" 13 0.21034516 NA "g" "//bean2" "shootDryWeight" 1 1
"41" "//maize1/shootDryWeight1" 13 0.12195418 NA "g" "//maize1" "shootDryWeight" 2 1
"42" "//squash3/shootDryWeight1" 13 0.10093109 NA "g" "//squash3" "shootDryWeight" 3 1
"43" "//bean2/shootDryWeight1" 14 0.26723841 NA "g" "//bean2" "shootDryWeight" 1 1
"44" "//maize1/shootDryWeight1" 14 0.14965184 NA "g" "//maize1" "shootDryWeight" 2 1
"45" "//squash3/shootDryWeight1" 14 0.14302797 NA "g" "//squash3" "shootDryWeight" 3 1
"46" "//bean2/shootDryWeight1" 15 0.33820203 NA "g" "//bean2" "shootDryWeight" 1 1
"47" "//maize1/shootDryWeight1" 15 0.18597115 NA "g" "//maize1" "shootDryWeight" 2 1
"48" "//squash3/shootDryWeight1" 15 0.19050245 NA "g" "//squash3" "shootDryWeight" 3 1
"49" "//bean2/shootDryWeight1" 16 0.41651999 NA "g" "//bean2" "shootDryWeight" 1 1
"50" "//maize1/shootDryWeight1" 16 0.22850179 NA "g" "//maize1" "shootDryWeight" 2 1
"51" "//squash3/shootDryWeight1" 16 0.22685739 NA "g" "//squash3" "shootDryWeight" 3 1
"52" "//bean2/shootDryWeight1" 17 0.49340268 NA "g" "//bean2" "shootDryWeight" 1 1
