0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m time 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA NA NA NA NA NA NA NA NA 0.000 0.00000000 0.00000000 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 1.000 0.00365996 0.00365996 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 2.000 0.01912366 0.01913207 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 3.000 0.04224652 0.04226859 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 4.000 0.05413083 0.05411600 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 5.000 0.05982587 0.05970316 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 6.000 0.06679422 0.06652424 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 7.000 0.07689065 0.07635711 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 8.000 0.09070297 0.08984371 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 9.000 0.10873220 0.10756474 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 10.000 0.13294905 0.13150451 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 11.000 0.16558583 0.16387453 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 12.000 0.20815912 0.20617124 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 13.000 0.26273029 0.26057686 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 14.000 0.33399676 0.33172037 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 15.000 0.41868862 0.42698948 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 16.000 0.49839455 0.55069100 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 17.000 0.57539312 0.70783704 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 18.000 0.65436226 0.92077211 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 19.000 0.73875573 1.21570201 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 20.000 0.81562928 1.65388100 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 21.000 0.87136255 2.31136329 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 22.000 0.91816145 3.19488870 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 23.000 0.96714577 4.26516549 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 24.000 1.01015643 5.52296820 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 25.000 1.04527677 6.96138715 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 26.000 1.07463793 8.54947004 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 27.000 1.10001724 10.27633462 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 28.000 1.12268005 12.14830735 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 29.000 1.14360656 14.17095144 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 30.000 1.16328283 16.34991504 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 31.000 1.18244754 18.69119853 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 32.000 1.20106041 21.20109827 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 33.000 1.22171535 23.88596187 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 34.000 1.24187114 26.75238774 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 35.000 1.26042967 29.80687952 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 36.000 1.27750695 33.05585099 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 37.000 1.29298261 36.50612317 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 38.000 1.30706411 40.16446026 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 39.000 1.32009492 44.03793386 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 40.000 1.33234458 48.13340366 NA NA
