0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb time 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA NA NA 0.000 0.00000000 0.00000000 NA NA NA NA 0.00000000 0.00000000 0.00000000 0.00000000
NA NA NA NA NA NA 1.000 0.00365996 0.00365996 NA NA NA NA 0.00365996 0.00365996 0.00365996 0.00365996
NA NA NA NA NA NA 2.000 0.01912942 0.01911777 NA NA NA NA 0.01911855 0.01912930 0.01913077 0.01912867
NA NA NA NA NA NA 3.000 0.04229306 0.04221028 NA NA NA NA 0.04223989 0.04224349 0.04228695 0.04228111
NA NA NA NA NA NA 4.000 0.05422890 0.05398981 NA NA NA NA 0.05411543 0.05406269 0.05417340 0.05420604
NA NA NA NA NA NA 5.000 0.05990988 0.05953418 NA NA NA NA 0.05979164 0.05965619 0.05980047 0.05988378
NA NA NA NA NA NA 6.000 0.06684530 0.06626843 NA NA NA NA 0.06672702 0.06655115 0.06666789 0.06675277
NA NA NA NA NA NA 7.000 0.07683713 0.07589543 NA NA NA NA 0.07672120 0.07656256 0.07653854 0.07652677
NA NA NA NA NA NA 8.000 0.09045975 0.08899191 NA NA NA NA 0.09045073 0.09031527 0.09004501 0.08976039
NA NA NA NA NA NA 9.000 0.10823283 0.10620521 NA NA NA NA 0.10847768 0.10839629 0.10777956 0.10693730
NA NA NA NA NA NA 10.000 0.13216117 0.12944028 NA NA NA NA 0.13271777 0.13278813 0.13174816 0.13002347
NA NA NA NA NA NA 11.000 0.16446809 0.16083934 NA NA NA NA 0.16543360 0.16562939 0.16426012 0.16123778
NA NA NA NA NA NA 12.000 0.20645856 0.20188470 NA NA NA NA 0.20809626 0.20838692 0.20668777 0.20199644
NA NA NA NA NA NA 13.000 0.26024565 0.25467457 NA NA NA NA 0.26273698 0.26325264 0.26109955 0.25432233
NA NA NA NA NA NA 14.000 0.33052125 0.32399338 NA NA NA NA 0.33402142 0.33503294 0.33233502 0.32305737
NA NA NA NA NA NA 15.000 0.41091914 0.41703132 NA NA NA NA 0.41579014 0.43098857 0.42010435 0.41556506
NA NA NA NA NA NA 16.000 0.48676980 0.53821437 NA NA NA NA 0.49288328 0.55518496 0.50484679 0.53603446
NA NA NA NA NA NA 17.000 0.55939379 0.69281576 NA NA NA NA 0.56591978 0.71277321 0.58736610 0.68969365
NA NA NA NA NA NA 18.000 0.63308998 0.90319938 NA NA NA NA 0.63894607 0.92628240 0.67284329 0.89904376
NA NA NA NA NA NA 19.000 0.71118646 1.19591060 NA NA NA NA 0.71463781 1.22219488 0.76524546 1.19069489
NA NA NA NA NA NA 20.000 0.78990973 1.63161173 NA NA NA NA 0.77248673 1.66128681 0.86944460 1.62551765
NA NA NA NA NA NA 21.000 0.84303803 2.28580744 NA NA NA NA 0.81320414 2.31900612 0.94497586 2.27888663
NA NA NA NA NA NA 22.000 0.88674029 3.16411714 NA NA NA NA 0.84667027 3.20112924 1.00984492 3.15644564
NA NA NA NA NA NA 23.000 0.93325414 4.22976345 NA NA NA NA 0.88230521 4.27105327 1.07851364 4.22147124
NA NA NA NA NA NA 24.000 0.97578427 5.48302777 NA NA NA NA 0.91476521 5.52929497 1.14181574 5.47417300
NA NA NA NA NA NA 25.000 1.01142726 6.91548320 NA NA NA NA 0.94200577 6.96746359 1.19549565 6.90595787
NA NA NA NA NA NA 26.000 1.04156973 8.49709349 NA NA NA NA 0.96509990 8.55582051 1.24127670 8.48691461
NA NA NA NA NA NA 27.000 1.06797557 10.21722043 NA NA NA NA 0.98533578 10.28398905 1.28140722 10.20637276
NA NA NA NA NA NA 28.000 1.09176580 12.08142805 NA NA NA NA 1.00355251 12.15783094 1.31770478 12.06986638
NA NA NA NA NA NA 29.000 1.11385285 14.09516022 NA NA NA NA 1.02043909 14.18302222 1.35194449 14.08297737
NA NA NA NA NA NA 30.000 1.13466796 16.26386384 NA NA NA NA 1.03631041 16.36540833 1.38476354 16.25127784
NA NA NA NA NA NA 31.000 1.15507363 18.59307861 NA NA NA NA 1.05181752 18.71096768 1.41773196 18.58024898
NA NA NA NA NA NA 32.000 1.17520765 21.08880797 NA NA NA NA 1.06707314 21.22605341 1.45095088 21.07597356
NA NA NA NA NA NA 33.000 1.19684161 23.75739919 NA NA NA NA 1.08310990 23.91731299 1.48682623 23.74454185
NA NA NA NA NA NA 34.000 1.21858748 26.60490977 NA NA NA NA 1.09886018 26.79119223 1.52291768 26.59224855
NA NA NA NA NA NA 35.000 1.23871044 29.63782575 NA NA NA NA 1.11361608 29.85407306 1.55763435 29.62502068
NA NA NA NA NA NA 36.000 1.25725602 32.86218334 NA NA NA NA 1.12689004 33.11255779 1.59089885 32.84915290
NA NA NA NA NA NA 37.000 1.27387547 36.28454435 NA NA NA NA 1.13884028 36.57331465 1.62238749 36.27098387
NA NA NA NA NA NA 38.000 1.28880371 39.91154549 NA NA NA NA 1.14974215 40.24299868 1.65163120 39.89721130
NA NA NA NA NA NA 39.000 1.30259317 43.74987384 NA NA NA NA 1.15988713 44.12850492 1.67908175 43.73460040
NA NA NA NA NA NA 40.000 1.31556260 47.80600150 NA NA NA NA 1.16945486 48.23680949 1.70519553 47.78974774
